,LD1,LD2,class
0,8.0849532018725,0.3284542184221738,0
1,7.147162896290326,-0.7554732599151347,0
2,7.511377889489672,-0.23807832030708695,0
3,6.837675605851523,-0.6428847596364081,0
4,8.157813670597925,0.5406393486119171,0
5,7.723630867041716,1.4823234493674653,0
6,7.235146620678866,0.3771536964267701,0
7,7.62974497398285,0.01667245832141386,0
8,6.582741317317713,-0.9873742421522435,0
9,7.368841163196138,-0.9136272938544295,0
10,8.421814342114176,0.6762296762792367,0
11,7.247397214818622,-0.0829241715896024,0
12,7.350621046803482,-1.0393596954980664,0
13,7.596468955509649,-0.7767155345185207,0
14,9.869365877490996,1.6148609319227432,0
15,9.180336135828751,2.755586261503124,0
16,8.597607090035705,1.85442216628171,0
17,7.799568199651479,0.6090546786638791,0
18,8.100009103953044,0.9961098096184722,0
19,8.045436105202848,1.1624433160282288,0
20,7.520464269317315,-0.15623299877079785,0
21,7.605263782548538,1.2275726707389645,0
22,8.704082486760456,0.8995941641612516,0
23,6.263741387097365,0.46023935039966407,0
24,6.5919150475731305,-0.3619982092752859,0
25,6.7921016365011955,-0.9382366430310297,0
26,6.840480913792308,0.48484869957626325,0
27,7.948385997831869,0.23871551453484,0
28,8.012092733147076,0.11626908823243055,0
29,6.855895722244179,-0.5171523579927709,0
30,6.783035253518755,-0.7293374881825142,0
31,7.386682376372265,0.591017280169735,0
32,9.162494922652623,1.2509416874789583,0
33,9.496171851736984,1.8498958585038792,0
34,7.368841163196138,-0.9136272938544295,0
35,7.975652500361765,-0.13519571505484249,0
36,8.631154664452458,0.43462279901564516,0
37,7.368841163196138,-0.9136272938544295,0
38,6.956022693499499,-0.6788784573927115,0
39,7.711671825690714,0.019958433662641623,0
40,7.936135403692112,0.6987933825512125,0
41,5.669053299953319,-1.9032897605265733,0
42,7.265597334366077,-0.2479362463307698,0
43,6.424498229783555,1.2615207255906442,0
44,6.886074879987837,1.0709450593556895,0
45,6.77985104236144,-0.47815877501465676,0
46,8.112327051675372,0.7888181765579624,0
47,7.210956982033309,-0.3343889748768759,0
48,8.33988749040631,0.6729437009380089,0
49,7.693451709298058,-0.10577396798099557,0
50,-1.4577224433306077,0.04186554167052481,1
51,-1.7976804443018235,0.48879950832198754,1
52,-2.416809729189779,-0.08234043741709106,1
53,-2.2648677103876786,-1.5760917438684008,1
